Sr.No,Ticket Ref ID,Category,Sub Category,Description,Created Date,Updated Date,Status,Remark
1,TKT-000001,Billing,Invoice Issue,Request for invoice issue support and guidance,2024-09-07 00:00:00,2024-12-30 00:00:00,Raised,Awaiting customer response
2,TKT-000002,Performance,Slow Response,Unable to access slow response features properly,2025-03-08 00:00:00,2025-03-16 00:00:00,Processing,Awaiting customer response
3,TKT-000003,Bug Report,Functional Bug,Unable to access functional bug features properly,2025-09-08 00:00:00,2025-09-08 00:00:00,Raised,Invalid request
4,TKT-000004,Payment Issue,Transaction Failed,System error related to transaction failed component,2025-08-26 00:00:00,2025-09-03 00:00:00,Processing,Escalated to technical team
5,TKT-000005,Payment Issue,Duplicate Charge,Request for duplicate charge support and guidance,2024-06-08 00:00:00,2024-09-26 00:00:00,Resolved,Awaiting customer response
6,TKT-000006,Billing,Pricing Query,Issue with pricing query requiring immediate attention,2025-01-02 00:00:00,2025-08-06 00:00:00,Resolved,Pending review
7,TKT-000007,Technical Support,Configuration,Unable to access configuration features properly,2024-05-07 00:00:00,2025-08-22 00:00:00,Rejected,Awaiting customer response
8,TKT-000008,Performance,High CPU,Unable to access high cpu features properly,2025-01-05 00:00:00,2025-06-01 00:00:00,Raised,Awaiting customer response
9,TKT-000009,Technical Support,Software,Request for software support and guidance,2024-03-22 00:00:00,2024-11-15 00:00:00,Processing,Closed as per customer request
10,TKT-000010,Feature Request,API,Request for api support and guidance,2024-06-15 00:00:00,2024-12-21 00:00:00,Resolved,Resolved successfully
11,TKT-000011,Feature Request,New Feature,Unable to access new feature features properly,2024-06-24 00:00:00,2025-03-24 00:00:00,Raised,Escalated to technical team
12,TKT-000012,Security,Compliance,Request for compliance support and guidance,2025-07-24 00:00:00,2025-08-07 00:00:00,Resolved,In progress
13,TKT-000013,Bug Report,UI Bug,Request for ui bug support and guidance,2025-02-14 00:00:00,2025-04-23 00:00:00,Processing,Resolved successfully
14,TKT-000014,Integration,Data Sync,Customer reported problem with data sync functionality,2025-05-26 00:00:00,2025-07-15 00:00:00,Rejected,Escalated to technical team
15,TKT-000015,Feature Request,Enhancement,Customer reported problem with enhancement functionality,2025-07-28 00:00:00,2025-08-31 00:00:00,Resolved,Closed as per customer request
16,TKT-000016,Integration,Webhook,Request for webhook support and guidance,2024-08-12 00:00:00,2024-10-21 00:00:00,Rejected,Awaiting customer response
17,TKT-000017,Technical Support,Hardware,Customer reported problem with hardware functionality,2024-06-12 00:00:00,2025-07-22 00:00:00,Rejected,Awaiting customer response
18,TKT-000018,Payment Issue,Currency Issue,Unable to access currency issue features properly,2025-04-24 00:00:00,2025-09-06 00:00:00,Resolved,Invalid request
19,TKT-000019,Technical Support,Hardware,Unable to access hardware features properly,2024-09-30 00:00:00,2025-08-24 00:00:00,Resolved,Awaiting customer response
20,TKT-000020,Feature Request,API,Customer reported problem with api functionality,2025-04-09 00:00:00,2025-04-09 00:00:00,Resolved,Invalid request
21,TKT-000021,General Inquiry,Product Info,Request for product info support and guidance,2025-06-03 00:00:00,2025-08-19 00:00:00,Raised,Escalated to technical team
22,TKT-000022,Account Issue,Password Reset,Unable to access password reset features properly,2025-06-27 00:00:00,2025-06-27 00:00:00,Resolved,Duplicate ticket
23,TKT-000023,Technical Support,Hardware,Request for hardware support and guidance,2024-11-10 00:00:00,2025-03-12 00:00:00,Processing,Resolved successfully
24,TKT-000024,Integration,API Error,Issue with api error requiring immediate attention,2025-05-12 00:00:00,2025-08-24 00:00:00,Processing,Invalid request
25,TKT-000025,General Inquiry,Service Query,System error related to service query component,2025-07-16 00:00:00,2025-07-26 00:00:00,Resolved,Invalid request
26,TKT-000026,Integration,Webhook,Customer reported problem with webhook functionality,2025-07-06 00:00:00,2025-07-31 00:00:00,Resolved,Closed as per customer request
27,TKT-000027,Account Issue,Access Rights,Unable to access access rights features properly,2025-04-07 00:00:00,2025-05-07 00:00:00,Raised,Resolved successfully
28,TKT-000028,Billing,Refund Request,Issue with refund request requiring immediate attention,2025-08-25 00:00:00,2025-09-11 00:00:00,Raised,Resolved successfully
29,TKT-000029,Technical Support,Hardware,Issue with hardware requiring immediate attention,2024-08-22 00:00:00,2024-09-25 00:00:00,Processing,Additional information required
30,TKT-000030,Billing,Payment Failed,Request for payment failed support and guidance,2025-05-12 00:00:00,2025-06-08 00:00:00,Raised,Duplicate ticket
31,TKT-000031,Bug Report,Security Bug,System error related to security bug component,2024-07-13 00:00:00,2024-08-30 00:00:00,Processing,Closed as per customer request
32,TKT-000032,Account Issue,Access Rights,System error related to access rights component,2025-04-23 00:00:00,2025-05-06 00:00:00,Processing,In progress
33,TKT-000033,Payment Issue,Duplicate Charge,Issue with duplicate charge requiring immediate attention,2024-09-11 00:00:00,2024-12-18 00:00:00,Raised,Invalid request
34,TKT-000034,Security,Data Breach,System error related to data breach component,2024-07-06 00:00:00,2024-11-25 00:00:00,Rejected,Resolved successfully
